id_ejercicio,nombre,grupo_muscular,equipamiento,descripcion,imagen
33,Doble Mancuerna Elevación Lateral,Hombros,Mancuerna,"Con una ligera flexión de codos, eleva los brazos hacia los lados hasta la altura de los hombros y baja controlando el peso.",0334-DsgkuIt.jpg
34,Doble Mancuerna Sentado Elevación Lateral,Hombros,Mancuerna,"Con una ligera flexión de codos, eleva los brazos hacia los lados hasta la altura de los hombros y baja controlando el peso.",0396-hxyTtWj.jpg
35,Doble Mancuerna Sentado Por encima de la cabeza Press,Hombros,Mancuerna,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0405-znQUdHY.jpg
36,Doble Mancuerna Por encima de la cabeza Press,Hombros,Mancuerna,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0426-A6wtbuL.jpg
37,Doble Mancuerna De pie Scaption,Hombros,Mancuerna,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0311-AQ0mC4Y.jpg
38,Doble Mancuerna Arnold Press,Hombros,Mancuerna,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",2137-Xy4jlWA.jpg
39,Barra Shrug,Trapecio,Barra,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0095-dG7tG5y.jpg
40,Doble Mancuerna Shrug,Trapecio,Mancuerna,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0406-NJzBsGJ.jpg
41,Polea Supino Curl de bíceps,Bíceps,Polea,"Manteniendo los codos pegados al costado del cuerpo, flexiona los brazos para subir el peso hacia los hombros y baja controlando el movimiento.",1634-otqIxU4.jpg
42,Barra Curl de bíceps,Bíceps,Barra,"Manteniendo los codos pegados al costado del cuerpo, flexiona los brazos para subir el peso hacia los hombros y baja controlando el movimiento.",0031-25GPyDY.jpg
43,Bar Dominada supina,Bíceps,Barra de dominadas,Cuélgate con los brazos extendidos. Tira de tu cuerpo hacia arriba hasta pasar la barbilla por encima de la barra y baja de forma controlada.,1326-T2mxWqc.jpg
44,Alterno Doble Mancuerna Curl de bíceps,Bíceps,Mancuerna,"Manteniendo los codos pegados al costado del cuerpo, flexiona los brazos para subir el peso hacia los hombros y baja controlando el movimiento.",0285-BU15nH4.jpg
45,Alterno Doble Mancuerna Hammer Curl,Bíceps,Mancuerna,"Manteniendo los codos pegados al costado del cuerpo, flexiona los brazos para subir el peso hacia los hombros y baja controlando el movimiento.",1648-6em2Dxj.jpg
46,A un brazo Mancuerna Banco inclinado Preacher Curl,Bíceps,Mancuerna,"Manteniendo los codos pegados al costado del cuerpo, flexiona los brazos para subir el peso hacia los hombros y baja controlando el movimiento.",1663-4dF3maG.jpg
47,Doble Mancuerna Hammer Curl,Bíceps,Mancuerna,"Manteniendo los codos pegados al costado del cuerpo, flexiona los brazos para subir el peso hacia los hombros y baja controlando el movimiento.",0313-slDvUAU.jpg
48,Peso corporal Diamond Flexión,Tríceps,Peso corporal,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0283-soIB2rj.jpg
49,Polea Cuerda Por encima de la cabeza Extensión de tríceps,Tríceps,Polea,"Con los codos fijos, extiende los brazos por completo para contraer los tríceps y vuelve despacio a la posición inicial.",1722-1xHyxys.jpg
50,Paralela Agarre estrecho Flexión,Tríceps,Barras paralelas,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0259-x6KpKpq.jpg
51,Barra Agarre estrecho Press de banca,Tríceps,Barra,"Túmbate en el banco, baja el peso de forma controlada hasta el pecho y empuja con fuerza hasta extender los brazos.",0030-J6Dx1Mu.jpg
52,Superband Assisted Dips,Tríceps,Superband,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0019-J60bN17.jpg
53,Doble Mancuerna Tríceps Kickback,Tríceps,Mancuerna,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0333-W6PxUkg.jpg
54,Mancuerna Sentado Por encima de la cabeza Extensión de tríceps,Tríceps,Mancuerna,"Con los codos fijos, extiende los brazos por completo para contraer los tríceps y vuelve despacio a la posición inicial.",2188-kont8Ut.jpg
55,Barra Sentado Por encima de la cabeza Extensión de tríceps,Tríceps,Barra,"Con los codos fijos, extiende los brazos por completo para contraer los tríceps y vuelve despacio a la posición inicial.",0092-5uFK1xr.jpg
56,Peso corporal Dips,Tríceps,Peso corporal,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0251-9WTm7dq.jpg
57,Barra Skull Crusher,Tríceps,Barra,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0060-h8LFzo9.jpg
58,Barra Thruster,Cuádriceps,Barra,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",3305-f7Y9eDZ.jpg
59,Peso corporal Sentadilla,Cuádriceps,Peso corporal,Flexiona las rodillas y baja las caderas manteniendo la espalda recta y el pecho arriba. Empuja con las piernas para volver a subir.,3119-75Bgtjy.jpg
60,Mancuerna Goblet Sentadilla ,Cuádriceps,Mancuerna,Flexiona las rodillas y baja las caderas manteniendo la espalda recta y el pecho arriba. Empuja con las piernas para volver a subir.,1760-yn8yg1r.jpg
61,Barra Posición frontal Sentadilla,Cuádriceps,Barra,Flexiona las rodillas y baja las caderas manteniendo la espalda recta y el pecho arriba. Empuja con las piernas para volver a subir.,0042-zG0zs85.jpg
62,Barra Alto Bar Espalda Sentadilla,Cuádriceps,Barra,Flexiona las rodillas y baja las caderas manteniendo la espalda recta y el pecho arriba. Empuja con las piernas para volver a subir.,1436-Gnfo4FM.jpg
63,Barra Bajo Bar Espalda Sentadilla,Cuádriceps,Barra,Flexiona las rodillas y baja las caderas manteniendo la espalda recta y el pecho arriba. Empuja con las piernas para volver a subir.,1435-bTpEUcm.jpg
64,Doble Mancuerna Estilo maleta Sentadilla búlgara,Cuádriceps,Mancuerna,Flexiona las rodillas y baja las caderas manteniendo la espalda recta y el pecho arriba. Empuja con las piernas para volver a subir.,0410-qx4fgX7.jpg
65,Doble Mancuerna Estilo maleta Subida al cajón,Cuádriceps,Mancuerna,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0431-aXtJhlg.jpg
66,Doble Mancuerna Estilo maleta Alterno Hacia adelante Zancada,Cuádriceps,Mancuerna,Da un paso y flexiona ambas rodillas hasta que la pierna trasera casi toque el suelo. Empuja para volver a la posición inicial.,3635-ecl28tP.jpg
67,Doble Mancuerna Estilo maleta Alterno Inversa Zancada,Cuádriceps,Mancuerna,Da un paso y flexiona ambas rodillas hasta que la pierna trasera casi toque el suelo. Empuja para volver a la posición inicial.,0381-SSsBDwB.jpg
68,Barra Posición trasera Caminando Zancada,Cuádriceps,Barra,Da un paso y flexiona ambas rodillas hasta que la pierna trasera casi toque el suelo. Empuja para volver a la posición inicial.,1460-IZVHb27.jpg
69,Barra Posición trasera Subida al cajón,Cuádriceps,Barra,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0114-Kxquu2E.jpg
70,Doble Mancuerna Romanian Peso muerto,Isquiosurales,Mancuerna,"Manteniendo la espalda neutra, flexiona la cadera para bajar el peso a lo largo de las piernas. Vuelve a extender la cadera para subir y aprieta glúteos.",1459-rR0LJzx.jpg
71,Barra Romanian Peso muerto,Isquiosurales,Barra,"Manteniendo la espalda neutra, flexiona la cadera para bajar el peso a lo largo de las piernas. Vuelve a extender la cadera para subir y aprieta glúteos.",0085-wQ2c4XD.jpg
72,Barra Stiff Legged Peso muerto,Isquiosurales,Barra,"Manteniendo la espalda neutra, flexiona la cadera para bajar el peso a lo largo de las piernas. Vuelve a extender la cadera para subir y aprieta glúteos.",0116-hrVQWvE.jpg
73,Barra A una pierna Romanian Peso muerto,Isquiosurales,Barra,"Manteniendo la espalda neutra, flexiona la cadera para bajar el peso a lo largo de las piernas. Vuelve a extender la cadera para subir y aprieta glúteos.",1756-gEyURal.jpg
74,Peso corporal Puente de glúteo,Glúteos,Peso corporal,"Tumbado boca arriba con las rodillas flexionadas, empuja con los talones para elevar la cadera apretando los glúteos al máximo al subir.",3523-aWedzZX.jpg
75,Mancuerna Puente de glúteo,Glúteos,Mancuerna,"Tumbado boca arriba con las rodillas flexionadas, empuja con los talones para elevar la cadera apretando los glúteos al máximo al subir.",1409-qKBpF7I.jpg
76,Barra Cadera Thrust,Glúteos,Barra,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",1409-qKBpF7I.jpg
77,Barra A una pierna Cadera Thrust,Glúteos,Barra,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",3645-rmEukuS.jpg
78,Peso corporal Cadera Thrust,Glúteos,Peso corporal,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",3236-Pjbc0Kt.jpg
79,Mancuerna Cadera Thrust,Glúteos,Mancuerna,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0484-196HJGw.jpg
80,Peso corporal Bird Dog,Abdominales,Peso corporal,Mantén la columna neutra y el abdomen tenso. Extiende las extremidades opuestas de forma lenta y controlada sin perder la postura.,1111-Bj23Fn.png
81,Pelota de estabilidad Giro ruso ,Abdominales,Fitball,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0687-XVDdcoj.jpg
82,Paralela Escalador,Abdominales,Barras paralelas,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0630-RJgzwny.jpg
83,Peso corporal Bicho muerto,Abdominales,Peso corporal,Mantén la columna neutra y el abdomen tenso. Extiende las extremidades opuestas de forma lenta y controlada sin perder la postura.,0276-iny3m5y.jpg
84,Peso corporal Kneeling Forearm Plancha,Abdominales,Peso corporal,Apóyate en los antebrazos y las puntas de los pies. Mantén el cuerpo en línea recta contrayendo fuerte el abdomen y los glúteos.,3239-h1ezqSu.jpg
85,Ab Wheel Kneeling Rollout,Abdominales,Ab Wheel,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0857-NAgVB3t.jpg
86,Polea Kneeling Encogimiento,Abdominales,Polea,"Tumbado boca arriba, contrae el abdomen para elevar ligeramente los hombros del suelo sin tirar del cuello, y vuelve a bajar despacio.",0175-WW95auq.jpg
87,Paralela L Sit,Abdominales,Barras paralelas,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",3419-UpWmA5E.jpg
88,Peso corporal De pie Walkout Plancha,Abdominales,Peso corporal,Apóyate en los antebrazos y las puntas de los pies. Mantén el cuerpo en línea recta contrayendo fuerte el abdomen y los glúteos.,1471-ZgsNQ6d.jpg
89,Peso corporal Plancha Lateral,Abdominales,Peso corporal,Apóyate en los antebrazos y las puntas de los pies. Mantén el cuerpo en línea recta contrayendo fuerte el abdomen y los glúteos.,0705-RKjH6Lt.jpg
90,Bar Inverted Hanging Encogimiento,Abdominales,Barra de dominadas,"Tumbado boca arriba, contrae el abdomen para elevar ligeramente los hombros del suelo sin tirar del cuello, y vuelve a bajar despacio.",0499-bZGHsAZ.jpg
91,Barra Kneeling Rollout,Abdominales,Barra,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0084-7M66AVi.jpg
92,Bar Hanging Rodilla Elevación,Abdominales,Barra de dominadas,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0011-03lzqwk.jpg
93,Bar Hanging Rodillas a Codos,Abdominales,Barra de dominadas,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0443-jvp6DiD.jpg
94,Bar Hanging Pierna Elevación,Abdominales,Barra de dominadas,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0472-I3tsCnC.jpg
95,Doble Mancuerna Estilo maleta Elevación de gemelos,Gemelos,Mancuerna,Eleva los talones apoyándote en la punta de los pies para contraer los gemelos. Aguanta un segundo arriba y baja estirando por completo.,0417-dPmaUaU.jpg
96,Doble Mancuerna Sentado Elevación de gemelos,Gemelos,Mancuerna,Eleva los talones apoyándote en la punta de los pies para contraer los gemelos. Aguanta un segundo arriba y baja estirando por completo.,1379-r29jP7S.jpg
97,Barra Sentado Elevación de gemelos,Gemelos,Barra,Eleva los talones apoyándote en la punta de los pies para contraer los gemelos. Aguanta un segundo arriba y baja estirando por completo.,1371-ipvgBnC.jpg
98,Peso corporal Mano Assisted Pies elevados Elevación de gemelos,Gemelos,Peso corporal,Eleva los talones apoyándote en la punta de los pies para contraer los gemelos. Aguanta un segundo arriba y baja estirando por completo.,0284-u5ESqzH.jpg
99,Barra Posición trasera Elevación de gemelos,Gemelos,Barra,Eleva los talones apoyándote en la punta de los pies para contraer los gemelos. Aguanta un segundo arriba y baja estirando por completo.,1372-8ozhUIZ.jpg
100,Barra Inversa Grip Curl de bíceps,Antebrazos,Barra,"Manteniendo los codos pegados al costado del cuerpo, flexiona los brazos para subir el peso hacia los hombros y baja controlando el movimiento.",0080-xNrS20v.jpg
